w	EQE	w	EQE
	PBDB-T:F-M 190nm		PBDB-TF-T1:BTP-4F-12 180nm
1112	0	1112	0
1113	0	1113	0
1114	0	1114	0
1115	0	1115	0
1116	0	1116	0
1117	0	1117	0
1118	0	1118	0
1119	0	1119	0
1120	0	1120	0
1121	0	1121	0
1122	0	1122	0
1123	0	1123	0
1124	0	1124	0
1125	0	1125	0
1126	0	1126	0
1127	0	1127	0
1128	0	1128	0
1129	0	1129	0
1130	0	1130	0
1131	0	1131	0
1132	0	1132	0
1133	0	1133	0
1134	0	1134	0
1135	0	1135	0
1136	0	1136	0
1137	0	1137	0
1138	0	1138	0
1139	0	1139	0
1140	0	1140	0
1141	0	1141	0
1142	0	1142	0
1143	0	1143	0
1144	0	1144	0
1145	0	1145	0
1146	0	1146	0
1147	0	1147	0
1148	0	1148	0
1149	0	1149	0
1150	0	1150	0
1151	0	1151	0
1152	0	1152	0
1153	0	1153	0
1154	0	1154	0
1155	0	1155	0
1156	0	1156	0
1157	0	1157	0
1158	0	1158	0
1159	0	1159	0
1160	0	1160	0
1161	0	1161	0
1162	0	1162	0
1163	0	1163	0
1164	0	1164	0
1165	0	1165	0
1166	0	1166	0
1167	0	1167	0
1168	0	1168	0
1169	0	1169	0
1170	0	1170	0
1171	0	1171	0
1172	0	1172	0
1173	0	1173	0
1174	0	1174	0
1175	0	1175	0
1176	0	1176	0
1177	0	1177	0
1178	0	1178	0
1179	0	1179	0
